target_id	est_counts	tpm
ENSMUST00000038829.6	101.0000	1055.3373
ENSMUST00000022842.14	82.0000	856.8085
ENSMUST00000106454.7	2.7684	28.9263
ENSMUST00000027921.10	128.0000	1337.4572
ENSMUST00000225023.1	25.6104	267.6005
ENSMUST00000169826.2	5.6256	58.7813
ENSMUST00000044158.12	265.0000	2768.9543
ENSMUST00000102508.9	41.0092	428.5005
ENSMUST00000102507.9	20.9856	219.2758
ENSMUST00000030518.15	1.0352	10.8165
ENSMUST00000042675.8	5.9700	62.3802
ENSMUST00000119161.8	68.1983	712.5964
ENSMUST00000124973.8	18.8017	196.4565
ENSMUST00000025083.13	104.0000	1086.6839
ENSMUST00000030427.5	128.0000	1337.4572
ENSMUST00000022704.7	274.0000	2862.9942
ENSMUST00000025811.4	110.0000	1149.3772
ENSMUST00000011896.6	189.0000	1974.8391
ENSMUST00000082421.1	112.0000	1170.2750
ENSMUST00000204965.2	12.6350	132.0216
ENSMUST00000031367.14	89.6402	936.6404
ENSMUST00000041982.7	50.1063	523.5551
ENSMUST00000171231.7	229.8937	2402.1324
ENSMUST00000086519.11	110.0000	1149.3772
ENSMUST00000154960.7	0.0033	0.0341
ENSMUST00000025420.13	27.9047	291.5731
ENSMUST00000113195.7	0.0000	0.0000
ENSMUST00000044503.13	229.0000	2392.7944
ENSMUST00000153832.7	10.3598	108.2480
ENSMUST00000055349.14	156.0000	1630.0259
ENSMUST00000164147.7	57.6595	602.4772
ENSMUST00000112509.1	136.3405	1424.6063
ENSMUST00000201203.3	207.4154	2167.2594
ENSMUST00000202951.3	31.5846	330.0239
ENSMUST00000124502.7	0.0000	0.0000
ENSMUST00000154322.7	2.1041	21.9854
ENSMUST00000005592.6	280.8959	2935.0488
ENSMUST00000103143.9	166.0000	1734.5148
ENSMUST00000180575.2	50.5000	527.6686
ENSMUST00000046094.4	50.5000	527.6686
ENSMUST00000067912.7	166.0000	1734.5148
ENSMUST00000050214.7	144.0000	1504.6393
ENSMUST00000048781.3	189.0000	1974.8391
ENSMUST00000178049.1	1.2363	12.9180
ENSMUST00000085546.12	85.7637	896.1349
ENSMUST00000094361.10	99.4988	1039.6510
ENSMUST00000002599.9	78.0000	815.0130
ENSMUST00000100527.10	78.0000	815.0130
ENSMUST00000036734.5	23.0000	240.3243
ENSMUST00000019962.14	199.0000	2079.3279
ENSMUST00000003117.14	164.0000	1713.6170
ENSMUST00000113127.6	140.4099	1467.1265
ENSMUST00000202258.3	2.5901	27.0640
ENSMUST00000026420.6	6.0000	62.6933
ENSMUST00000100497.10	769.9974	8045.6139
ENSMUST00000115571.7	38.0000	397.0576
ENSMUST00000025300.12	38.0000	397.0576
ENSMUST00000115567.7	38.0000	397.0576
ENSMUST00000209364.1	0.0000	0.0000
ENSMUST00000210789.1	0.0000	0.0000
ENSMUST00000076313.12	233.0000	2434.5899
ENSMUST00000211712.1	0.0000	0.0000
ENSMUST00000030320.12	75.0000	783.6663
ENSMUST00000163666.2	143.4281	1498.6632
ENSMUST00000128519.7	133.5719	1395.6777
ENSMUST00000077755.10	153.0000	1598.6793
ENSMUST00000172785.7	327.0000	3416.7851
ENSMUST00000053646.6	142.0000	1483.7415
ENSMUST00000152522.7	10.7880	112.7223
ENSMUST00000170715.7	287.3864	3002.8667
ENSMUST00000054289.12	114.5209	1196.6158
ENSMUST00000146867.1	14.0493	146.7999
ENSMUST00000090023.12	106.0000	1107.5817
ENSMUST00000007216.8	106.0000	1107.5817
ENSMUST00000099194.3	232.0000	2424.1411
ENSMUST00000184053.7	159.0000	1661.3726
ENSMUST00000031779.16	208.0000	2173.3679
ENSMUST00000106839.8	107.9519	1127.9771
ENSMUST00000114242.8	77.6667	811.5300
ENSMUST00000025193.12	77.6667	811.5300
ENSMUST00000154232.8	77.6667	811.5300
ENSMUST00000025867.5	210.0000	2194.2657
ENSMUST00000045235.7	116.0000	1212.0706
ENSMUST00000024839.4	61.0000	637.3819
ENSMUST00000001043.13	242.9190	2538.2324
ENSMUST00000059037.14	226.9999	2371.8953
ENSMUST00000025989.8	315.0000	3291.3985
ENSMUST00000180095.3	64.4682	673.6205
ENSMUST00000204177.2	3.3515	35.0190
ENSMUST00000087351.7	46.7432	488.4142
ENSMUST00000036004.15	37.2568	389.2921
ENSMUST00000041008.9	150.0000	1567.3326
ENSMUST00000021990.3	151.4101	1582.0662
ENSMUST00000224244.1	8.5899	89.7552
ENSMUST00000149985.7	162.2193	1695.0103
ENSMUST00000010241.13	125.4880	1311.2096
ENSMUST00000197679.4	91.6444	957.5819
ENSMUST00000029559.6	247.3556	2584.5898
ENSMUST00000006496.14	63.9374	668.0745
ENSMUST00000064709.11	80.2838	838.8761
ENSMUST00000056449.8	17.6667	184.5970
ENSMUST00000135312.2	17.6667	184.5970
ENSMUST00000131607.6	17.6667	184.5970
ENSMUST00000001675.13	211.5284	2210.2354
ENSMUST00000111644.1	7.4716	78.0702
ENSMUST00000109701.9	0.0000	0.0004
ENSMUST00000116389.8	0.0000	0.0001
ENSMUST00000030118.9	140.9995	1473.2875
ENSMUST00000040766.8	79.0000	825.4618
ENSMUST00000164233.7	0.0005	0.0051
ENSMUST00000110325.7	146.8700	1534.6272
ENSMUST00000073707.8	25.8585	270.1924
ENSMUST00000017799.11	10.1224	105.7674
ENSMUST00000041826.13	181.2329	1893.6810
ENSMUST00000075299.12	105.2408	1099.6493
ENSMUST00000220032.1	73.4363	767.3273
ENSMUST00000024701.7	134.0000	1400.1505
ENSMUST00000020085.6	58.0000	606.0353
ENSMUST00000045247.8	65.0000	679.1775
ENSMUST00000019470.13	71.0000	741.8708
ENSMUST00000115844.1	72.0000	752.3197
ENSMUST00000023189.13	72.0000	752.3197
ENSMUST00000059644.12	15.0000	156.7333
ENSMUST00000021368.9	58.5435	611.7142
ENSMUST00000099329.4	240.0000	2507.7322
ENSMUST00000129909.7	0.0000	0.0001
ENSMUST00000081940.10	15.0480	157.2349
ENSMUST00000125184.7	9.0894	94.9739
ENSMUST00000140679.7	0.0000	0.0001
ENSMUST00000089430.5	12.4589	130.1818
ENSMUST00000121623.7	0.0000	0.0000
ENSMUST00000127793.1	19.4037	202.7467
ENSMUST00000010189.2	170.0000	1776.3103
ENSMUST00000170953.2	29.7932	311.3057
ENSMUST00000154313.1	29.8448	311.8445
ENSMUST00000211256.1	3.0189	31.5444
ENSMUST00000211672.1	3.0189	31.5444
ENSMUST00000146923.7	102.1099	1066.9348
ENSMUST00000038845.9	70.0000	731.4219
